"Tissue","cell_type","Category","change","TF","Pval","mid_Variability","old_Variability"
"Pancreas","Ductal Cells","old vs mid","INCREASE","CDX1_435",0.00372820684942957,1.07986268294171,0.940575541209632
"Pancreas","Ductal Cells","old vs mid","INCREASE","CDX2_514",0.00280349638223093,1.15578942232752,0.921785950791894
"Pancreas","Ductal Cells","old vs mid","INCREASE","CEBPG_128",0.0422085079179884,0.974741182712018,0.819019197704088
"Pancreas","Ductal Cells","old vs mid","INCREASE","CPEB1_815",0.00103371305235058,0.944548161900701,0.852278136302054
"Pancreas","Ductal Cells","old vs mid","INCREASE","CR3882194_286",0.0213796208950223,1.11869411190867,1.03675926494573
"Pancreas","Ductal Cells","old vs mid","INCREASE","CR3882292_837",0.00260375429893874,1.01172679910903,0.957399081892252
"Pancreas","Ductal Cells","old vs mid","INCREASE","CR7597843_285",0.0213796208950223,1.11869411190867,1.03675926494573
"Pancreas","Ductal Cells","old vs mid","INCREASE","CR7598154_839",0.00260375429893874,1.01172679910903,0.957399081892252
"Pancreas","Ductal Cells","old vs mid","INCREASE","CR8124782_575",0.0452793308387169,0.953170283187672,0.887945313086108
"Pancreas","Ductal Cells","old vs mid","INCREASE","CR8477943_864",0.00260375429893874,1.01172679910903,0.957399081892252
"Pancreas","Ductal Cells","old vs mid","INCREASE","CR9338788_599",0.0452793308387169,0.953170283187672,0.887945313086108
"Pancreas","Ductal Cells","old vs mid","INCREASE","CREM_108",0.0333810505165989,0.847294756857332,0.794895037581193
"Pancreas","Ductal Cells","old vs mid","INCREASE","CT4768282_585",0.0216222059671188,0.91326196386329,0.914651901366201
"Pancreas","Ductal Cells","old vs mid","INCREASE","DMRTC2_852",0.00305351459394029,0.945294764855999,0.966036647356439
"Pancreas","Ductal Cells","old vs mid","INCREASE","DRGX_516",0.0176359963389799,0.939173753787056,0.894387824873515
"Pancreas","Ductal Cells","old vs mid","INCREASE","DUX1_859",0.0216222059671188,0.91326196386329,0.914651901366201
"Pancreas","Ductal Cells","old vs mid","INCREASE","DUX3_860",0.0216222059671188,0.91326196386329,0.914651901366201
"Pancreas","Ductal Cells","old vs mid","INCREASE","DUX4_603",0.0216222059671188,0.91326196386329,0.914651901366201
"Pancreas","Ductal Cells","old vs mid","INCREASE","DUX4L2_580",0.0216222059671188,0.91326196386329,0.914651901366201
"Pancreas","Ductal Cells","old vs mid","INCREASE","DUX4L3_581",0.0216222059671188,0.91326196386329,0.914651901366201
"Pancreas","Ductal Cells","old vs mid","INCREASE","DUX4L5_578",0.0216222059671188,0.91326196386329,0.914651901366201
"Pancreas","Ductal Cells","old vs mid","INCREASE","DUX4L6_582",0.0216222059671188,0.91326196386329,0.914651901366201
