"Tissue","group","cell_type","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","change","isTissuespecific","isCellTypespecific"
"11890","Prostate","old vs mid","Macrophages cell","PLA2G2A",9.21e-11,-2.329747,0.051,0.316,1.51e-06,"DOWN",FALSE,FALSE
"11891","Prostate","old vs mid","Macrophages cell","MMP9",9.48e-11,-2.524948,0.131,0.579,1.55e-06,"DOWN",FALSE,TRUE
"11892","Prostate","old vs mid","Macrophages cell","FXYD3",9.95e-11,-1.821472,0.222,0.526,1.63e-06,"DOWN",FALSE,FALSE
"11893","Prostate","old vs mid","Macrophages cell","HIST1H1C",1.21e-10,-1.565089,0.148,0.263,1.99e-06,"DOWN",FALSE,TRUE
"11894","Prostate","old vs mid","Macrophages cell","TYMP",1.68e-10,1.702066,0.859,0.158,2.76e-06,"UP",FALSE,FALSE
"11895","Prostate","old vs mid","Macrophages cell","ID1",3.07e-10,-2.178655,0.126,0.211,5.03e-06,"DOWN",FALSE,FALSE
"11896","Prostate","old vs mid","Macrophages cell","VASP",9.17e-10,1.649144,0.65,0,1.5e-05,"UP",FALSE,TRUE
"11897","Prostate","old vs mid","Macrophages cell","PHLDA1",1.67e-09,-2.100524,0.414,0.632,2.73e-05,"DOWN",FALSE,FALSE
"11898","Prostate","old vs mid","Macrophages cell","IER5",2.37e-09,2.750967,0.631,0,3.89e-05,"UP",FALSE,FALSE
"11899","Prostate","old vs mid","Macrophages cell","AGR2",5.22e-09,-1.71675,0.054,0.158,8.57e-05,"DOWN",FALSE,FALSE
"11900","Prostate","old vs mid","Macrophages cell","PTPRC",1.12e-08,1.686014,0.715,0.053,0.000184327,"UP",FALSE,FALSE
"11901","Prostate","old vs mid","Macrophages cell","GPX1",1.13e-08,1.383561,0.976,0.632,0.000185251,"UP",FALSE,TRUE
"11902","Prostate","old vs mid","Macrophages cell","IFI30",1.2e-08,1.820939,0.598,0,0.000196813,"UP",FALSE,TRUE
"11903","Prostate","old vs mid","Macrophages cell","MNDA",1.4e-08,1.797909,0.594,0,0.000229802,"UP",FALSE,TRUE
"11904","Prostate","old vs mid","Macrophages cell","FOLH1",1.46e-08,-1.711256,0.022,0.263,0.000238771,"DOWN",FALSE,FALSE
"11905","Prostate","old vs mid","Macrophages cell","KLF4",1.63e-08,2.200741,0.591,0,0.000267997,"UP",FALSE,FALSE
"11906","Prostate","old vs mid","Macrophages cell","MGLL",1.88e-08,-1.38244,0.131,0.211,0.000308533,"DOWN",FALSE,TRUE
"11907","Prostate","old vs mid","Macrophages cell","CSF1R",1.89e-08,1.663035,0.699,0.053,0.000309639,"UP",FALSE,TRUE
"11908","Prostate","old vs mid","Macrophages cell","CXCR4",2.32e-08,1.743305,0.899,0.316,0.000380337,"UP",FALSE,FALSE
"11909","Prostate","old vs mid","Macrophages cell","HSPA1B",4.32e-08,3.074553,0.569,0,0.000707948,"UP",FALSE,FALSE
"11910","Prostate","old vs mid","Macrophages cell","TACSTD2",5.35e-08,-1.898772,0.189,0.316,0.000877171,"DOWN",FALSE,FALSE
"11911","Prostate","old vs mid","Macrophages cell","JUND",5.65e-08,1.58005,0.741,0.105,0.00092657,"UP",FALSE,FALSE
"11912","Prostate","old vs mid","Macrophages cell","ZFP36L2",6.06e-08,2.033443,0.828,0.211,0.00099358,"UP",FALSE,FALSE
"11913","Prostate","old vs mid","Macrophages cell","A2M",7.05e-08,-1.569669,0.551,0.632,0.001156097,"DOWN",FALSE,TRUE
"11914","Prostate","old vs mid","Macrophages cell","HCST",7.62e-08,1.360162,0.66,0.053,0.0012488,"UP",FALSE,FALSE
"11915","Prostate","old vs mid","Macrophages cell","LSP1",1.06e-07,1.459596,0.648,0.053,0.001733346,"UP",FALSE,TRUE
"11916","Prostate","old vs mid","Macrophages cell","TFF3",1.08e-07,-1.571713,0.088,0.211,0.001778267,"DOWN",FALSE,FALSE
"11917","Prostate","old vs mid","Macrophages cell","ADAMDEC1",1.21e-07,-1.911825,0.13,0.368,0.001984229,"DOWN",FALSE,TRUE
"11918","Prostate","old vs mid","Macrophages cell","SLAMF7",1.44e-07,-1.448154,0.209,0.211,0.002356687,"DOWN",FALSE,TRUE
"11919","Prostate","old vs mid","Macrophages cell","BTG2",2.03e-07,-1.378921,0.556,0.368,0.003329982,"DOWN",FALSE,FALSE
"11920","Prostate","old vs mid","Macrophages cell","RHOB",3.54e-07,2.09997,0.646,0.053,0.005812067,"UP",FALSE,FALSE
"11921","Prostate","old vs mid","Macrophages cell","HBB",3.92e-07,1.379223,0.515,0,0.00643471,"UP",FALSE,FALSE
"11922","Prostate","old vs mid","Macrophages cell","FABP5",5.79e-07,-2.064359,0.513,0.789,0.009488389,"DOWN",FALSE,FALSE
"11923","Prostate","old vs mid","Macrophages cell","LGALS3",1e-06,-1.395762,0.68,0.789,0.01648057,"DOWN",FALSE,FALSE
"11924","Prostate","old vs mid","Macrophages cell","NUPR1",1.1e-06,-1.580981,0.247,0.316,0.01799417,"DOWN",FALSE,TRUE
"11925","Prostate","old vs mid","Macrophages cell","JUNB",1.2e-06,1.580598,0.886,0.368,0.01965394,"UP",FALSE,FALSE
"11926","Prostate","old vs mid","Macrophages cell","RSAD2",1.35e-06,-1.387018,0.029,0.105,0.02207992,"DOWN",TRUE,TRUE
"11927","Prostate","old vs mid","Macrophages cell","EMP3",5.11e-06,1.490239,0.707,0.158,0.08382068,"UP",FALSE,TRUE
"11928","Prostate","old vs mid","Macrophages cell","CXCL2",5.79e-06,-1.830382,0.379,0.789,0.09488999,"DOWN",FALSE,FALSE
"11929","Prostate","old vs mid","Macrophages cell","GPR34",6.84e-06,1.421538,0.436,0,0.1122251,"UP",FALSE,TRUE
"11930","Prostate","old vs mid","Macrophages cell","PHACTR1",6.94e-06,1.615964,0.579,0.053,0.1137792,"UP",FALSE,TRUE
"11931","Prostate","old vs mid","Macrophages cell","LYZ",7.36e-06,1.624887,0.892,0.421,0.1207272,"UP",FALSE,TRUE
"11932","Prostate","old vs mid","Macrophages cell","MARCKSL1",7.66e-06,1.385243,0.433,0,0.1256809,"UP",FALSE,FALSE
"11933","Prostate","old vs mid","Macrophages cell","GDF15",1.06e-05,-2.597296,0.064,0.105,0.1731395,"DOWN",FALSE,FALSE
"11934","Prostate","old vs mid","Macrophages cell","DUSP5",1.34e-05,1.703117,0.416,0,0.2193941,"UP",FALSE,FALSE
"11935","Prostate","old vs mid","Macrophages cell","TNFAIP3",1.39e-05,1.910047,0.559,0.053,0.2280567,"UP",FALSE,FALSE
"11936","Prostate","old vs mid","Macrophages cell","CXCL3",1.81e-05,-2.702879,0.217,0.632,0.2970755,"DOWN",FALSE,FALSE
"11937","Prostate","old vs mid","Macrophages cell","HSPA6",1.86e-05,3.044779,0.406,0,0.3043405,"UP",FALSE,TRUE
"11938","Prostate","old vs mid","Macrophages cell","HLA-DRB5",2.88e-05,2.873096,0.544,0.053,0.4726084,"UP",FALSE,FALSE
"11939","Prostate","old vs mid","Macrophages cell","GPNMB",2.9e-05,-1.784261,0.256,0.632,0.4750553,"DOWN",FALSE,TRUE
"11940","Prostate","old vs mid","Macrophages cell","SDS",3.2e-05,-1.882574,0.426,0.684,0.5244547,"DOWN",FALSE,TRUE
"11941","Prostate","old vs mid","Macrophages cell","CFD",3.71e-05,1.406545,0.384,0,0.608058,"UP",FALSE,TRUE
"11942","Prostate","old vs mid","Macrophages cell","S100P",3.93e-05,-2.165571,0.013,0.158,0.6440104,"DOWN",FALSE,FALSE
"11943","Prostate","old vs mid","Macrophages cell","HLA-DPB1",3.94e-05,1.881092,0.981,0.947,0.6457732,"UP",FALSE,FALSE
"11944","Prostate","old vs mid","Macrophages cell","HES4",6.22e-05,1.430637,0.367,0,1,"UP",FALSE,TRUE
"11945","Prostate","old vs mid","Macrophages cell","CLEC9A",7.25e-05,1.374716,0.362,0,1,"UP",TRUE,TRUE
"11946","Prostate","old vs mid","Macrophages cell","CCR7",8.96e-05,-1.871472,0.163,0.421,1,"DOWN",FALSE,TRUE
"11947","Prostate","old vs mid","Macrophages cell","RGCC",9.08e-05,1.97334,0.508,0.053,1,"UP",FALSE,FALSE
"11948","Prostate","old vs mid","Macrophages cell","SERPINA3",0.000155054,-2.099031,0.003,0.158,1,"DOWN",FALSE,FALSE
"11949","Prostate","old vs mid","Macrophages cell","FABP4",0.000244296,-2.458477,0.012,0.158,1,"DOWN",FALSE,TRUE
"11950","Prostate","old vs mid","Macrophages cell","IL10",0.000354849,-1.794076,0.21,0.316,1,"DOWN",TRUE,TRUE
"11951","Prostate","old vs mid","Macrophages cell","HLA-DQB1",0.000356173,1.529081,0.949,0.737,1,"UP",FALSE,FALSE
"11952","Prostate","old vs mid","Macrophages cell","DNAJB1",0.000638263,2.028466,0.697,0.263,1,"UP",FALSE,FALSE
"11953","Prostate","old vs mid","Macrophages cell","BCL2A1",0.000712461,-1.360656,0.673,0.737,1,"DOWN",FALSE,TRUE
"11954","Prostate","old vs mid","Macrophages cell","CD52",0.00110064,2.019295,0.266,0,1,"UP",FALSE,TRUE
"11955","Prostate","old vs mid","Macrophages cell","MT1F",0.002238488,2.726017,0.239,0,1,"UP",FALSE,TRUE
"11956","Prostate","old vs mid","Macrophages cell","NLRP3",0.002345439,1.445947,0.402,0.053,1,"UP",FALSE,TRUE
"11957","Prostate","old vs mid","Macrophages cell","CXCL1",0.00240355,-2.835104,0.066,0.105,1,"DOWN",FALSE,FALSE
"11958","Prostate","old vs mid","Macrophages cell","CCL20",0.002834016,-2.765632,0.145,0.368,1,"DOWN",FALSE,FALSE
"11959","Prostate","old vs mid","Macrophages cell","CCL2",0.003456635,-2.936242,0.096,0.105,1,"DOWN",FALSE,FALSE
"11960","Prostate","old vs mid","Macrophages cell","FCER1A",0.006027438,1.87192,0.365,0.053,1,"UP",FALSE,TRUE
"11961","Prostate","old vs mid","Macrophages cell","SPINK1",0.006847016,-1.492482,0.005,0.105,1,"DOWN",FALSE,FALSE
"11962","Prostate","old vs mid","Macrophages cell","HES1",0.009616476,-1.697086,0.342,0.316,1,"DOWN",FALSE,FALSE
"11963","Prostate","old vs mid","Macrophages cell","C1QC",0.01635082,1.576933,0.746,0.474,1,"UP",FALSE,TRUE
"11964","Prostate","old vs mid","Macrophages cell","MT1H",0.02445986,4.26269,0.143,0,1,"UP",FALSE,TRUE
"11965","Prostate","old vs mid","Other cells cell","EEF1A1",4.66e-50,3.060189,1,0.8,7.64e-46,"UP",FALSE,FALSE
"11966","Prostate","old vs mid","Other cells cell","EEF2",1.61e-21,2.102701,1,0.16,2.65e-17,"UP",FALSE,FALSE
"11967","Prostate","old vs mid","Other cells cell","CDKN1A",8.36e-21,-2.673941,0.832,0.96,1.37e-16,"DOWN",FALSE,FALSE
"11968","Prostate","old vs mid","Other cells cell","CD93",4.18e-20,-2.262434,0.597,0.56,6.86e-16,"DOWN",FALSE,TRUE
"11969","Prostate","old vs mid","Other cells cell","PLPP3",1.23e-19,-2.708076,0.412,0.56,2.02e-15,"DOWN",FALSE,TRUE
"11970","Prostate","old vs mid","Other cells cell","VIM",3.86e-18,2.012293,1,0.84,6.33e-14,"UP",FALSE,FALSE
"11971","Prostate","old vs mid","Other cells cell","IGFBP7",5.93e-18,2.927116,0.992,0.6,9.73e-14,"UP",FALSE,TRUE
"11972","Prostate","old vs mid","Other cells cell","TXN",1.27e-17,-1.80957,0.899,0.8,2.08e-13,"DOWN",FALSE,FALSE
"11973","Prostate","old vs mid","Other cells cell","PNP",1.88e-17,-2.957567,0.395,0.76,3.08e-13,"DOWN",FALSE,FALSE
"11974","Prostate","old vs mid","Other cells cell","TM4SF1",5.5e-17,-2.571068,0.882,0.88,9.01e-13,"DOWN",FALSE,FALSE
"11975","Prostate","old vs mid","Other cells cell","EFNA1",2.64e-16,-1.93417,0.622,0.52,4.33e-12,"DOWN",FALSE,FALSE
"11976","Prostate","old vs mid","Other cells cell","NAMPT",5.38e-16,-2.059731,0.571,0.6,8.82e-12,"DOWN",FALSE,FALSE
"11977","Prostate","old vs mid","Other cells cell","THBD",1.78e-15,-1.873337,0.681,0.72,2.91e-11,"DOWN",FALSE,TRUE
"11978","Prostate","old vs mid","Other cells cell","KDR",1.81e-15,-2.097424,0.311,0.44,2.97e-11,"DOWN",FALSE,TRUE
"11979","Prostate","old vs mid","Other cells cell","SUB1",2.45e-15,-1.387052,0.79,0.64,4.01e-11,"DOWN",FALSE,TRUE
"11980","Prostate","old vs mid","Other cells cell","HSPA9",5.84e-15,-1.455372,0.328,0.28,9.57e-11,"DOWN",FALSE,TRUE
"11981","Prostate","old vs mid","Other cells cell","NPDC1",1.01e-14,2.01184,0.908,0.12,1.66e-10,"UP",FALSE,FALSE
"11982","Prostate","old vs mid","Other cells cell","ID3",1.03e-14,-2.492935,0.782,0.84,1.69e-10,"DOWN",FALSE,FALSE
"11983","Prostate","old vs mid","Other cells cell","HSPA5",1.05e-14,-1.52275,0.613,0.56,1.72e-10,"DOWN",FALSE,TRUE
"11984","Prostate","old vs mid","Other cells cell","INSIG1",1.61e-14,-1.915634,0.462,0.6,2.64e-10,"DOWN",FALSE,TRUE
"11985","Prostate","old vs mid","Other cells cell","CTNNA1",1.68e-14,-1.475627,0.429,0.32,2.75e-10,"DOWN",FALSE,TRUE
"11986","Prostate","old vs mid","Other cells cell","NPY",1.71e-14,-3.189012,0.176,0.56,2.8e-10,"DOWN",FALSE,FALSE
"11987","Prostate","old vs mid","Other cells cell","CEBPD",4.3e-14,2.61355,0.924,0.16,7.06e-10,"UP",FALSE,FALSE
"11988","Prostate","old vs mid","Other cells cell","TINAGL1",4.7e-14,2.282268,0.756,0,7.71e-10,"UP",FALSE,TRUE
"11989","Prostate","old vs mid","Other cells cell","DUSP6",9.28e-14,-2.026875,0.429,0.44,1.52e-09,"DOWN",FALSE,TRUE
"11990","Prostate","old vs mid","Other cells cell","CCL2",1.36e-13,-3.705588,0.286,0.84,2.23e-09,"DOWN",FALSE,FALSE
"11991","Prostate","old vs mid","Other cells cell","CNRIP1",2.22e-13,-1.860234,0.37,0.36,3.65e-09,"DOWN",TRUE,TRUE
"11992","Prostate","old vs mid","Other cells cell","MT-ATP6",2.39e-13,-1.449832,1,1,3.93e-09,"DOWN",FALSE,FALSE
"11993","Prostate","old vs mid","Other cells cell","TRIB1",2.57e-13,-1.954884,0.395,0.4,4.22e-09,"DOWN",FALSE,TRUE
"11994","Prostate","old vs mid","Other cells cell","BCAM",3.8e-13,1.519739,0.899,0.16,6.23e-09,"UP",FALSE,FALSE
"11995","Prostate","old vs mid","Other cells cell","MARCKSL1",7.78e-13,1.966858,0.79,0.04,1.28e-08,"UP",FALSE,FALSE
"11996","Prostate","old vs mid","Other cells cell","CDC42",8.66e-13,1.405433,0.815,0.08,1.42e-08,"UP",FALSE,TRUE
"11997","Prostate","old vs mid","Other cells cell","TIMP1",9.94e-13,-1.882123,0.891,0.56,1.63e-08,"DOWN",FALSE,FALSE
"11998","Prostate","old vs mid","Other cells cell","LRRC32",1.82e-12,-1.373225,0.555,0.44,2.99e-08,"DOWN",FALSE,TRUE
"11999","Prostate","old vs mid","Other cells cell","CSF3",2.03e-12,-4.021212,0.092,0.6,3.34e-08,"DOWN",FALSE,TRUE
"12000","Prostate","old vs mid","Other cells cell","IGFBP2",2.05e-12,1.9582,0.782,0.04,3.36e-08,"UP",FALSE,FALSE
"12001","Prostate","old vs mid","Other cells cell","AZGP1",2.18e-12,-3.213502,0.21,0.56,3.57e-08,"DOWN",FALSE,FALSE
"12002","Prostate","old vs mid","Other cells cell","EMP1",2.55e-12,-2.098278,0.798,0.88,4.19e-08,"DOWN",FALSE,FALSE
"12003","Prostate","old vs mid","Other cells cell","VWA1",3.93e-12,2.411899,0.782,0.04,6.45e-08,"UP",FALSE,TRUE
"12004","Prostate","old vs mid","Other cells cell","RDH11",4.02e-12,-2.089153,0.387,0.28,6.59e-08,"DOWN",TRUE,FALSE
"12005","Prostate","old vs mid","Other cells cell","ANKRD37",5.27e-12,-1.338446,0.261,0.2,8.65e-08,"DOWN",FALSE,FALSE
"12006","Prostate","old vs mid","Other cells cell","TRIM22",8.36e-12,-1.412488,0.261,0.16,1.37e-07,"DOWN",FALSE,TRUE
"12007","Prostate","old vs mid","Other cells cell","DDIT3",1.22e-11,-2.330338,0.412,0.4,2.01e-07,"DOWN",FALSE,FALSE
"12008","Prostate","old vs mid","Other cells cell","JUND",1.27e-11,2.491774,0.899,0.2,2.08e-07,"UP",FALSE,FALSE
"12009","Prostate","old vs mid","Other cells cell","PRNP",1.27e-11,-1.427519,0.361,0.32,2.09e-07,"DOWN",FALSE,TRUE
"12010","Prostate","old vs mid","Other cells cell","ITPR1",1.45e-11,-1.637083,0.227,0.32,2.38e-07,"DOWN",FALSE,TRUE
"12011","Prostate","old vs mid","Other cells cell","KLF2",1.56e-11,2.261982,0.899,0.2,2.55e-07,"UP",FALSE,TRUE
"12012","Prostate","old vs mid","Other cells cell","PRSS23",2.18e-11,2.141898,0.84,0.12,3.57e-07,"UP",FALSE,TRUE
"12013","Prostate","old vs mid","Other cells cell","ISG20",2.43e-11,-2.052414,0.269,0.44,3.98e-07,"DOWN",FALSE,FALSE
"12014","Prostate","old vs mid","Other cells cell","TSC22D3",2.91e-11,1.484626,0.815,0.12,4.78e-07,"UP",FALSE,TRUE
"12015","Prostate","old vs mid","Other cells cell","TNFRSF12A",3.32e-11,-2.296933,0.101,0.44,5.45e-07,"DOWN",FALSE,FALSE
"12016","Prostate","old vs mid","Other cells cell","EGFL7",3.48e-11,2.597858,0.798,0.08,5.71e-07,"UP",FALSE,TRUE
"12017","Prostate","old vs mid","Other cells cell","HYAL2",5.37e-11,2.316024,0.647,0,8.8e-07,"UP",FALSE,TRUE
"12018","Prostate","old vs mid","Other cells cell","SEC11C",5.62e-11,-1.728706,0.395,0.48,9.22e-07,"DOWN",FALSE,FALSE
"12019","Prostate","old vs mid","Other cells cell","PLIN2",8.22e-11,-1.488224,0.353,0.36,1.35e-06,"DOWN",FALSE,FALSE
"12020","Prostate","old vs mid","Other cells cell","ARHGDIB",8.43e-11,1.530826,0.714,0.04,1.38e-06,"UP",FALSE,FALSE
"12021","Prostate","old vs mid","Other cells cell","TUBA1C",1.37e-10,-2.074909,0.16,0.36,2.25e-06,"DOWN",FALSE,FALSE
"12022","Prostate","old vs mid","Other cells cell","CD9",1.4e-10,-1.555943,0.63,0.72,2.3e-06,"DOWN",FALSE,FALSE
"12023","Prostate","old vs mid","Other cells cell","ADGRG1",1.4e-10,-1.636374,0.269,0.28,2.3e-06,"DOWN",FALSE,TRUE
"12024","Prostate","old vs mid","Other cells cell","IDI1",2.7e-10,-1.472198,0.361,0.32,4.42e-06,"DOWN",FALSE,FALSE
"12025","Prostate","old vs mid","Other cells cell","TUBB6",3.04e-10,-1.389128,0.395,0.32,4.99e-06,"DOWN",FALSE,TRUE
"12026","Prostate","old vs mid","Other cells cell","HTRA1",3.32e-10,1.54127,0.613,0,5.44e-06,"UP",FALSE,FALSE
"12027","Prostate","old vs mid","Other cells cell","IRF7",3.84e-10,-1.494914,0.193,0.2,6.29e-06,"DOWN",FALSE,TRUE
"12028","Prostate","old vs mid","Other cells cell","NCOA7",5.53e-10,-1.400331,0.672,0.64,9.07e-06,"DOWN",FALSE,FALSE
"12029","Prostate","old vs mid","Other cells cell","SNAI1",6.42e-10,-1.963874,0.244,0.36,1.05e-05,"DOWN",TRUE,TRUE
"12030","Prostate","old vs mid","Other cells cell","VWF",6.45e-10,1.994868,0.832,0.16,1.06e-05,"UP",FALSE,TRUE
"12031","Prostate","old vs mid","Other cells cell","HES1",7.44e-10,-2.218092,0.765,0.76,1.22e-05,"DOWN",FALSE,FALSE
"12032","Prostate","old vs mid","Other cells cell","STUB1",7.88e-10,1.359886,0.597,0,1.29e-05,"UP",FALSE,FALSE
"12033","Prostate","old vs mid","Other cells cell","FAM110D",1.2e-09,1.857768,0.588,0,1.97e-05,"UP",FALSE,TRUE
"12034","Prostate","old vs mid","Other cells cell","GYPC",4.09e-09,1.558915,0.563,0,6.71e-05,"UP",FALSE,TRUE
"12035","Prostate","old vs mid","Other cells cell","GADD45B",6.27e-09,-1.64894,0.966,0.88,0.000102802,"DOWN",FALSE,FALSE
"12036","Prostate","old vs mid","Other cells cell","RHOB",8.72e-09,1.492065,0.782,0.16,0.000143026,"UP",FALSE,FALSE
"12037","Prostate","old vs mid","Other cells cell","NBL1",1.2e-08,1.436604,0.639,0.04,0.000196,"UP",FALSE,FALSE
"12038","Prostate","old vs mid","Other cells cell","EIF2S1",1.85e-08,-1.642569,0.218,0.24,0.000302674,"DOWN",TRUE,TRUE
"12039","Prostate","old vs mid","Other cells cell","CSRP2",2.23e-08,-1.645428,0.378,0.48,0.000365111,"DOWN",FALSE,FALSE
"12040","Prostate","old vs mid","Other cells cell","PLK3",2.79e-08,1.487245,0.521,0,0.000457745,"UP",FALSE,TRUE
"12041","Prostate","old vs mid","Other cells cell","MKNK2",2.79e-08,1.421179,0.521,0,0.000457745,"UP",FALSE,TRUE
"12042","Prostate","old vs mid","Other cells cell","JUNB",3.15e-08,1.470868,0.992,0.68,0.000517029,"UP",FALSE,FALSE
"12043","Prostate","old vs mid","Other cells cell","CXCL2",3.24e-08,-1.590727,0.588,0.48,0.000531835,"DOWN",FALSE,FALSE
"12044","Prostate","old vs mid","Other cells cell","ICAM1",5.72e-08,-1.367499,0.555,0.56,0.000938768,"DOWN",FALSE,TRUE
"12045","Prostate","old vs mid","Other cells cell","PALMD",5.79e-08,1.513761,0.504,0,0.000950119,"UP",FALSE,TRUE
"12046","Prostate","old vs mid","Other cells cell","IER3",6.44e-08,-1.737592,0.681,0.52,0.001056589,"DOWN",FALSE,FALSE
"12047","Prostate","old vs mid","Other cells cell","RAMP3",7e-08,1.326512,0.79,0.2,0.001147903,"UP",FALSE,TRUE
"12048","Prostate","old vs mid","Other cells cell","PTGDS",4.62e-07,2.412777,0.454,0,0.007579188,"UP",FALSE,TRUE
"12049","Prostate","old vs mid","Other cells cell","INSR",6.41e-07,1.523813,0.563,0.04,0.01050736,"UP",FALSE,TRUE
"12050","Prostate","old vs mid","Other cells cell","SOD2",7.03e-07,-1.652323,0.639,0.76,0.01152098,"DOWN",FALSE,FALSE
"12051","Prostate","old vs mid","Other cells cell","FXYD3",1.35e-06,-1.800483,0.101,0.28,0.02216465,"DOWN",FALSE,FALSE
"12052","Prostate","old vs mid","Other cells cell","C11orf96",1.95e-06,2.700366,0.756,0.24,0.03202323,"UP",FALSE,TRUE
"12053","Prostate","old vs mid","Other cells cell","HMOX1",2.06e-06,-3.045435,0.017,0.28,0.03375026,"DOWN",FALSE,TRUE
"12054","Prostate","old vs mid","Other cells cell","PLAUR",2.69e-06,-2.057148,0.16,0.28,0.04406825,"DOWN",FALSE,FALSE
"12055","Prostate","old vs mid","Other cells cell","CXCL3",3.42e-06,-1.971669,0.193,0.28,0.05616567,"DOWN",FALSE,FALSE
"12056","Prostate","old vs mid","Other cells cell","LRG1",4.42e-06,-2.093756,0.118,0.28,0.07251206,"DOWN",FALSE,TRUE
"12057","Prostate","old vs mid","Other cells cell","HIVEP2",6.89e-06,-1.734054,0.067,0.2,0.1129099,"DOWN",FALSE,TRUE
"12058","Prostate","old vs mid","Other cells cell","MGP",7.75e-06,-1.560203,0.941,0.6,0.1270172,"DOWN",FALSE,FALSE
"12059","Prostate","old vs mid","Other cells cell","MCTP1",9.91e-06,-1.332614,0.185,0.16,0.1625743,"DOWN",FALSE,TRUE
"12060","Prostate","old vs mid","Other cells cell","RASD1",1.29e-05,-1.337445,0.21,0.2,0.2117056,"DOWN",FALSE,FALSE
"12061","Prostate","old vs mid","Other cells cell","HMGA1",1.65e-05,-1.633946,0.084,0.2,0.270745,"DOWN",FALSE,FALSE
"12062","Prostate","old vs mid","Other cells cell","FOSL1",1.76e-05,-2.060905,0.076,0.28,0.2889183,"DOWN",FALSE,FALSE
"12063","Prostate","old vs mid","Other cells cell","CTGF",2.66e-05,1.876203,0.538,0.08,0.4364381,"UP",FALSE,TRUE
"12064","Prostate","old vs mid","Other cells cell","SFN",3.2e-05,-1.370503,0.092,0.2,0.5239651,"DOWN",FALSE,FALSE
"12065","Prostate","old vs mid","Other cells cell","ADM5",3.41e-05,1.353589,0.336,0,0.5590861,"UP",FALSE,TRUE
"12066","Prostate","old vs mid","Other cells cell","TFF1",3.84e-05,-2.39655,0.017,0.24,0.6298213,"DOWN",FALSE,FALSE
"12067","Prostate","old vs mid","Other cells cell","B3GNT5",4e-05,-1.478459,0.101,0.24,0.6552973,"DOWN",FALSE,TRUE
"12068","Prostate","old vs mid","Other cells cell","SNAI2",4.6e-05,-1.54127,0.076,0.16,0.7546455,"DOWN",FALSE,TRUE
"12069","Prostate","old vs mid","Other cells cell","TSTD1",5.03e-05,-1.623928,0.092,0.2,0.825476,"DOWN",FALSE,FALSE
"12070","Prostate","old vs mid","Other cells cell","CRIP1",5.99e-05,2.077028,0.319,0,0.9822841,"UP",FALSE,TRUE
"12071","Prostate","old vs mid","Other cells cell","MT1G",6.12e-05,-1.702761,0.126,0.32,1,"DOWN",FALSE,FALSE
"12072","Prostate","old vs mid","Other cells cell","GDF15",6.65e-05,-2.451797,0.025,0.24,1,"DOWN",FALSE,FALSE
"12073","Prostate","old vs mid","Other cells cell","CXCL1",6.82e-05,-1.890228,0.034,0.2,1,"DOWN",FALSE,FALSE
"12074","Prostate","old vs mid","Other cells cell","PLAU",7.9e-05,-1.38026,0.059,0.16,1,"DOWN",FALSE,FALSE
"12075","Prostate","old vs mid","Other cells cell","FOLH1",8.31e-05,-1.873852,0.025,0.2,1,"DOWN",FALSE,FALSE
"12076","Prostate","old vs mid","Other cells cell","CLDN5",8.77e-05,1.98987,0.571,0.12,1,"UP",FALSE,TRUE
"12077","Prostate","old vs mid","Other cells cell","PLA2G2A",0.000122139,-1.757775,0.042,0.16,1,"DOWN",FALSE,FALSE
"12078","Prostate","old vs mid","Other cells cell","MYL9",0.00014524,2.506151,0.546,0.12,1,"UP",FALSE,TRUE
"12079","Prostate","old vs mid","Other cells cell","ARG2",0.000224204,-1.348056,0.076,0.12,1,"DOWN",TRUE,FALSE
"12080","Prostate","old vs mid","Other cells cell","SERPINA3",0.000267231,-1.482761,0,0.16,1,"DOWN",FALSE,FALSE
"12081","Prostate","old vs mid","Other cells cell","IL32",0.000383889,-1.500896,0.101,0.2,1,"DOWN",FALSE,FALSE
"12082","Prostate","old vs mid","Other cells cell","STC1",0.00046504,-2.532247,0.126,0.2,1,"DOWN",FALSE,TRUE
"12083","Prostate","old vs mid","Other cells cell","LYPD5",0.000641992,-1.562104,0.025,0.16,1,"DOWN",TRUE,TRUE
"12084","Prostate","old vs mid","Other cells cell","HLA-DQA2",0.000907351,-1.412989,0.059,0.2,1,"DOWN",FALSE,FALSE
"12085","Prostate","old vs mid","Other cells cell","MYLK",0.001434355,1.418183,0.218,0,1,"UP",FALSE,TRUE
"12086","Prostate","old vs mid","Other cells cell","TSPAN8",0.002780577,-1.819912,0.034,0.16,1,"DOWN",FALSE,FALSE
"12087","Prostate","old vs mid","Other cells cell","CXCL8",0.003572703,-1.50063,0.101,0.16,1,"DOWN",FALSE,FALSE
"12088","Prostate","old vs mid","Other cells cell","BGN",0.006311688,1.400919,0.168,0,1,"UP",FALSE,TRUE
"12089","Prostate","old vs mid","Other cells cell","SOD3",0.008038277,1.871396,0.16,0,1,"UP",FALSE,FALSE
"12090","Prostate","old vs mid","Other cells cell","IL6",0.02034013,-1.614532,0.151,0.28,1,"DOWN",FALSE,TRUE
"12091","Prostate","old vs mid","Other cells cell","MYH11",0.02091772,2.310823,0.126,0,1,"UP",FALSE,TRUE
