"Tissue","group","cell_type","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","change","isTissuespecific","isCellTypespecific"
"65","Bladder","old vs mid","Basal cell","LY9",1.02e-28,1.679312755,0.509,0.06,1.74e-24,"UP",FALSE,TRUE
"66","Bladder","old vs mid","Basal cell","CYB5A",1.46e-28,-1.348826278,0.168,0.447,2.49e-24,"DOWN",FALSE,FALSE
"67","Bladder","old vs mid","Basal cell","MMP7",1.67e-28,-1.292350134,0.017,0.26,2.85e-24,"DOWN",FALSE,FALSE
"68","Bladder","old vs mid","Basal cell","LAMB3",3.82e-28,-1.191326647,0.031,0.293,6.51e-24,"DOWN",FALSE,FALSE
"69","Bladder","old vs mid","Basal cell","WFDC2",5.66e-28,-1.68175087,0.025,0.273,9.66e-24,"DOWN",FALSE,FALSE
"70","Bladder","old vs mid","Basal cell","MT1X",2.72e-27,1.572424838,0.595,0.133,4.63e-23,"UP",FALSE,FALSE
"71","Bladder","old vs mid","Basal cell","UBB",5.47e-27,1.205260838,0.97,0.773,9.33e-23,"UP",FALSE,FALSE
"72","Bladder","old vs mid","Basal cell","CD69",4.98e-25,1.612232937,0.495,0.073,8.48e-21,"UP",FALSE,FALSE
"73","Bladder","old vs mid","Basal cell","ID1",7.36e-25,-1.699018057,0.13,0.28,1.26e-20,"DOWN",FALSE,FALSE
"74","Bladder","old vs mid","Basal cell","HSPA8",1.37e-24,1.351557843,0.888,0.54,2.34e-20,"UP",FALSE,FALSE
"75","Bladder","old vs mid","Basal cell","CD37",6.63e-24,1.592730951,0.657,0.213,1.13e-19,"UP",FALSE,FALSE
"76","Bladder","old vs mid","Basal cell","CXCR4",2.01e-23,1.783649034,0.666,0.233,3.43e-19,"UP",FALSE,FALSE
"77","Bladder","old vs mid","Basal cell","YBX3",8.53e-23,-1.155629571,0.341,0.647,1.46e-18,"DOWN",FALSE,TRUE
"78","Bladder","old vs mid","Basal cell","CCL20",9.46e-23,-2.248168443,0.05,0.287,1.61e-18,"DOWN",FALSE,FALSE
"79","Bladder","old vs mid","Basal cell","HMGA1",2.53e-22,-1.26771289,0.284,0.507,4.32e-18,"DOWN",FALSE,FALSE
"80","Bladder","old vs mid","Basal cell","HSPA6",3.26e-22,2.121098293,0.294,0,5.55e-18,"UP",FALSE,FALSE
"81","Bladder","old vs mid","Basal cell","CD52",2.78e-21,1.556868544,0.63,0.213,4.74e-17,"UP",FALSE,FALSE
"82","Bladder","old vs mid","Basal cell","ID2",6.91e-21,-1.453067708,0.248,0.34,1.18e-16,"DOWN",FALSE,FALSE
"83","Bladder","old vs mid","Basal cell","JUN",1.99e-20,1.64468822,0.758,0.44,3.39e-16,"UP",FALSE,FALSE
"84","Bladder","old vs mid","Basal cell","LYZ",4.96e-20,-2.040685518,0.045,0.173,8.46e-16,"DOWN",FALSE,FALSE
